id,model,noMesin,noRangka,deliveryDate
1,AGYA,-,MHKA4GA5JHJ009598,1/24/2018
2,CALYA ,-,MHKA6GJ6JHJ063260,2/6/2018
3,AVANZA,-,MHKM5FA4JHK036062,1/29/2018
4,AVANZA,-,MHKM5EA3JHK090520,2/9/2018
5,INNOVA,-,MHFJW8EM4H2342830,2/13/2018
6,AGYA ,-,MHKA4GA5JHJ010182,8/11/2017
7,AVANZA ,-,MHKM5FA4JHK031662,9/11/2017
8,INNOVA,-,MHFGW8EM7H1015693,9/11/2017
9,AGYA,-,MHKA4DA3JHJ114659,10/11/2017
10,AVANZA,-,MHKM5FA4JHK033856,10/11/2017
11,AVANZA,-,MHKM5FA4JHK031704,10/11/2017
12,RUSH,-,MHFE2CJ3JHK134922,11/13/2017
13,AVANZA,-,MHKM5FA4JHK030436,11/14/2017
14,HILUX,-,MR0EW8BB6H0205319,11/14/2017
15,AVANZA,-,MHKM5EA4JHK022593,11/16/2017
16,CALYA,-,MHKA6GK6JHJ019714,11/18/2017
17,AVANZA,-,MHKM5EA3JHK068269,11/20/2017
18,INNOVA,-,MHFJW8EM0H2341710,11/22/2017
19,RUSH,-,MHFE2CJ3JHK128717,11/23/2017
20,CALYA,-,MHKA6GJ6JHJ060171,11/23/2017
21,HILUX,-,MR0HB3CD5H0332090,11/23/2017
22,AVANZA,-,MHKM5FA4JHK034933,11/24/2017
23,AGYA,-,MHKA4GB5JHJ005308,11/25/2017
24,AVANZA,-,MHKM5EA3JHK075688,11/25/2017
25,AVANZA,-,MHKM5EA3JHK073118,11/25/2017
26,RUSH,-,MHFE2CJ3JHK135429,11/28/2017
27,AGYA,-,MHKA4GB5JHJ004682,11/30/2017
28,CALYA ,-,MHKA6GJ6JHJ059912,12/1/2017
29,INNOVA,-,MHFJW8EM7H2337783,12/2/2017
30,INNOVA,-,MHFJW8EMXH2325563,12/3/2017
31,AVANZA,-,MHKM5EA3JHK070487,12/4/2017
32,INNOVA,-,MHFJW8EM6H2339931,8/12/2017
33,HILUX,-,MR0KS8CD1H1104956,9/12/2017
34,YARIS ,-,MHFK29F33H2014553,11/12/2017
35,CALYA,-,MHKA6GJ6JHJ061517,12/12/2017
36,AVANZA,-,MHKM5EA3JHK073429,12/12/2017
37,HILUX,-,MR0KB8CD3H1116459,12/15/2017
38,AVANZA,-,MHKM5EA2JHK029421,12/18/2017
39,AVANZA,-,MHKM5EA3JHK088604,12/19/2017
40,AVANZA,-,MHKM5FB4JHK013767,12/20/2017
41,AVANZA,-,MHKM5FA4JHK034781,12/21/2017
42,AGYA,-,MHKA4GA5JHJ004712,12/19/2017
43,CALYA,-,MHKA6GJ6JHJ060886,12/20/2017
44,YARIS,-,MHFK29F39H2016968,12/20/2017
45,AGYA,-,MHKA4GA5JHJ010195,12/21/2017
46,AVANZA,-,MHKM5EA3JHK065819,12/21/2017
47,AVANZA,-,MHKM5EA3JHK067577,12/21/2017
48,AVANZA,-,MHKM5FA4JHK035473,12/21/2017
49,INNOVA,-,MHFJW8EM1H2339707,12/21/2017
50,RUSH,-,MHFE2CJ3JHK129814,12/21/2017
51,AVANZA ,-,MHKM5FA4JHK035167,12/22/2017
52,RUSH,-,MHFE2CK3JHK046507,12/22/2017
53,AVANZA ,-,MHKM5EA3JHK089354,12/22/2017
54,AVANZA,-,MHKM5FA4JHK034873,12/23/2017
55,AVANZA,-,MHKM5FA4JHK035393,12/23/2017
56,INNOVA,-,MHFJW8EM6H2342344,12/23/2017
57,AGYA,-,MHKA4GB5JHJ005581,12/28/2017
58,AGYA,-,MHKA4GA5JHJ002431,12/28/2017
59,AVANZA,-,MHKM5FA4JHK035522,12/28/2017
60,AVANZA ,-,MHKM5FA4JHK035954,12/28/2017
61,INNOVA,-,MHFJW8EMXH2337034,12/28/2017
62,AGYA,-,MHKA4GB5JHJ005263,12/29/2017
63,AVANZA,-,MHKM5EA3JHK072440,12/29/2017
64,AVANZA ,-,MHKM5FA3JHK004959,12/29/2017
65,AVANZA,-,MHKM5FA4JHK035442,12/29/2017
66,HILUX,-,MR0HB3CD5H0332106,12/29/2017
67,AVANZA,-,MHKM5EA3JHK068026,12/30/2017
68,AVANZA,-,MHKM5EA3JHK089539,12/30/2017
69,AVANZA,-,MHKM5EA3JHK068773,12/30/2017
70,AVANZA,-,MHKM5EA4JHK021396,12/30/2017
71,AVANZA,-,MHKM5FA3JHK004997,12/30/2017
72,CALYA,-,MHKA6GJ6JHJ061599,12/30/2017
73,CALYA,-,MHKA6GJ6JHJ060109,12/30/2017
