id,model,noMesin,noRangka,noPolisi,deliveryDate
647,AVANZA 1.3 G M/T,-,MHKM5EA3JKK147363,,2019-12-07
647,AVANZA 1.3 G M/T,-,MHKM5EA3JKK156035,,2019-12-20
648,AVANZA 1.3 G M/T,-,MHKM5EA3JKK162137,,2020-03-12
648,AVANZA,-,MHKM5EA3JHK067841,,2017-11-11
649,HILUX DOUBLE CABIN 2.4 DIESEL,2GD4438142,MR0KB8CD1J1117826,,2018-05-17
650,CALYA 1.2 G M/T,-,MHKA6GJ6JLJ604022,,2020-09-14
651,AVANZA 1.3,-,MHKM5EA3JJK122007,,2017-05-09
651,INNOVA BENSIN,1TRA290374,MHFGW8EM3H1013486,,2017-05-09
652,RUSH 1.5 TRD Sportivo A/T,-,MHKE8FB3JLK041721,,2020-09-16
653,INNOVA BENSIN G M/T,-,MHFJW8EM6L2379824,,2020-02-29
654,AVANZA,-,MHKM5FA4JHK033881,,2017-12-23
655,HILUX,-,MR0ES8BB7H0063011,,2018-03-03
655,HILUX,-,MR0ES8BB8H0062966,,2018-02-06
655,INNOVA,-,MHFJW8EM6H2336009,,2017-11-25
656,AVANZA,-,MHKM5EA3JHK071829,,2017-08-30
657,FORTUNER,-,MHFGX8GSXK0505888,,2019-03-30
657,INNOVA,-,MHFAW8EM6J0212081,,2019-03-30
657,HIACE,-,JTFSS22P7H0166348,,2017-09-28
657,INNOVA,-,MHFJB8EM3K1047713,,2019-02-26
657,RUSH 1.5,-,MHKE8FA3JKJ002115,,2019-11-22
658,INNOVA,-,MHFGW8EM5H1018432,,2018-03-20
658,INNOVA,-,MHFGW8EM8H1018327,,2018-03-14
658,INNOVA,-,MHFGW8EM4H1018728,,2018-03-19
658,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD0K1210287,,2020-02-27
658,INNOVA BENSIN G M/T,-,MHFJW8EM1L2379746,,2020-02-27
659,INNOVA BENSIN,1TRA542904,MHFGW8EM0J1022829,,2018-11-30
660,INNOVA BENSIN,-,MHFAW8EM1G0203913,,2016-11-01
660,RUSH 1.5,-,MHFE2CJ3JGK118079,,2016-11-01
660,HILUX PICK UP 2.0 BENSIN,-,MR0EW8BB3G0203297,,2016-11-29
660,INNOVA BENSIN,-,MHFAW8EM4G0204246,,2016-11-29
660,HILUX DOUBLE CABIN 2.5 DIESEL,-,MR0KS8CD5G1035171,,2016-11-29
660,HILUX PICK UP 2.0 BENSIN,-,MR0EW8BB6G0203309,,2016-11-29
661,AVANZA 1.3,1NRF232448,MHKM5EA3JHK051292,,2017-03-27
662,INNOVA BENSIN,1TRA273623,MHFJW8EM5H2329309,,2017-06-30
663,AVANZA 1.3 VELOZ A/T,-,MHKM5EB4JKK012344,,2020-01-30
664,AVANZA 1.5,2NRF587360,MHKM5FB4JHK010606,,2017-04-28
664,AVANZA 1.5,2NRF584435,MHKM5FB4JHK010269,,2017-04-26
665,INNOVA,-,MHFJW8EMXK2372938,,2019-09-10
665,INNOVA,-,MHFJW8EM0K2372639,,2019-09-11
666,AVANZA 1.3,1NRF241853,MHKM5EA3JHK056702,,2017-04-13
666,AVANZA,-,MHKM5EA3JHK071331,,2017-12-23
667,HILUX PICK UP 2.0 BENSIN STD M/T,-,MR0EW8BB7K0208169,,2020-09-03
668,HILUX DOUBLE CABIN 2.4 DIESEL G M/T,-,MR0KB8CD8L1123738,,2020-03-19
669,INNOVA,-,MHFJW8EM0K2364766,,2019-03-27
